series,model,acc,latency
PP-HGNet,PPHGNet_B1,0.7382,0.891505957
PP-HGNet,PPHGNet_B2,0.7714,1.106022596
PP-HGNet,PPHGNet_B3,0.7983,1.758800983
PP-HGNet,PPHGNet_B4,0.8151,2.498328209
PP-HGNet_ssld,PPHGNet_B1_ssld,0.77328,0.891505957
PP-HGNet_ssld,PPHGNet_B2_ssld,0.80594,1.106022596
PP-HGNet_ssld,PPHGNet_B3_ssld,0.8195,1.758800983
PP-HGNet_ssld,PPHGNet_B4_ssld,0.8382,2.498328209
PP-HGNet_ssld,PPHGNet_B5_ssld,0.8500,5.843292713
PP-HGNet_ssld,PPHGNet_B6_ssld,0.85708,10.89953208
PP-HGNetV2,PPHGNetV2_B0,0.7777,0.52
PP-HGNetV2,PPHGNetV2_B1,0.7918,0.58
PP-HGNetV2,PPHGNetV2_B2,0.8174,0.95
PP-HGNetV2,PPHGNetV2_B3,0.8298,1.18
PP-HGNetV2,PPHGNetV2_B4,0.8357,1.46
PP-HGNetV2,PPHGNetV2_B5,0.8475,2.84
PP-HGNetV2,PPHGNetV2_B6,0.8630,5.29
AlexNet,AlexNet,0.567,0.636264563
DarkNet,CSPDarkNet53,0.7725,2.80258131
DarkNet,DarkNet53,0.78,2.400055408
DenseNet,DenseNet121,0.7566,3.220166445
DenseNet,DenseNet161,0.7857,6.829632759
DenseNet,DenseNet169,0.7681,4.81493783
DenseNet,DenseNet201,0.7763,6.154848337
DenseNet,DenseNet264,0.7796,9.05417943
DLA,DLA102,0.7893,4.147828341
DLA,DLA102x,0.781,4.677195311
DLA,DLA102x2,0.7885,6.399514198
DLA,DLA169,0.7809,6.451255083
DLA,DLA34,0.7603,1.66523385
DLA,DLA46_c,0.6321,0.876240253
DLA,DLA60,0.761,2.54123354
DLA,DLA60x,0.7753,2.664750814
DLA,DLA60x_c,0.6645,1.044924736
DPN,DPN107,0.8089,8.387327194
DPN,DPN131,0.807,8.258391142
DPN,DPN68,0.7678,2.819899082
DPN,DPN92,0.7985,4.643654823
DPN,DPN98,0.8059,6.15059948
EfficientNet,EfficientNetB0,0.7738,1.578644514
EfficientNet,EfficientNetB1,0.7915,2.289323807
EfficientNet,EfficientNetB2,0.7985,2.52421999
EfficientNet,EfficientNetB3,0.8115,3.441653252
EfficientNet,EfficientNetB4,0.8285,5.35021019
EfficientNet,EfficientNetB5,0.8362,8.515771627
EfficientNet,EfficientNetB6,0.84,13.48949003
EfficientNet,EfficientNetB7,0.843,21.91214347
HarDNet,HarDNet39_ds,0.7133,1.118879795
HarDNet,HarDNet68,0.7546,2.97064209
HarDNet,HarDNet68_ds,0.7362,1.882612467
HarDNet,HarDNet85,0.7744,4.669345617
HRNet,HRNet_W18_C,0.7692,6.331401825
HRNet,HRNet_W30_C,0.7804,8.335857153
HRNet,HRNet_W32_C,0.7828,8.030816078
HRNet,HRNet_W40_C,0.7877,9.636357069
HRNet,HRNet_W44_C,0.79,10.54365182
HRNet,HRNet_W48_C,0.7895,10.80666757
HRNet,HRNet_W64_C,0.793,13.1234138
Inception,InceptionV3,0.7914,3.919076443
Inception,InceptionV4,0.8077,7.087110758
Inception,GoogLeNet,0.707,1.25539279
PeleeNet,PeleeNet,0.7153,1.258419752
PPHGNet,PPHGNet_small,0.8151,2.460772753
PPHGNet,PPHGNet_tiny,0.7983,1.723615885
RedNet,RedNet101,0.7894,14.89124608
RedNet,RedNet152,0.7917,21.41143966
RedNet,RedNet26,0.7595,5.358763456
RedNet,RedNet38,0.7747,7.423187256
RedNet,RedNet50,0.7833,9.469828844
RegNetX,RegNetX_200MF,0.68,1.000534296
RegNetX,RegNetX_32GF,0.803,13.66027474
RepVGG,RepVGG_A0,0.7131,1.382797956
RepVGG,RepVGG_A1,0.738,1.681082249
RepVGG,RepVGG_A2,0.7571,2.310356617
RepVGG,RepVGG_B0,0.745,1.991843224
RepVGG,RepVGG_B1,0.7773,3.5600214
RepVGG,RepVGG_B1g2,0.7732,4.180174828
RepVGG,RepVGG_B1g4,0.7675,4.726470709
RepVGG,RepVGG_B2,0.7813,4.451888323
RepVGG,RepVGG_B2g4,0.7881,5.467201233
RepVGG,RepVGG_B3,0.8031,4.282711506
RepVGG,RepVGG_B3g4,0.8005,4.208945751
Res2Net,Res2Net101_vd_26w_4s,0.8064,5.956341505
Res2Net,Res2Net200_vd_26w_4s,0.8121,10.79502916
Res2Net,Res2Net50_14w_8s,0.7946,4.129235506
Res2Net,Res2Net50_26w_4s,0.7933,3.308832645
Res2Net,Res2Net50_vd_26w_4s,0.7975,3.346593142
ResNeSt,ResNeSt101,0.8279,19.1625638
ResNeSt,ResNeSt50,0.8102,13.07949185
ResNeSt,ResNeSt50_fast_1s1x64d,0.8061,2.426612377
ResNet,ResNet101,0.7756,4.004966736
ResNet,ResNet152,0.7826,5.708516598
ResNet,ResNet18,0.7098,1.077058077
ResNet,ResNet34,0.7457,1.827511072
ResNet,ResNet50,0.765,2.188886642
ResNet_vd,ResNet101_vd,0.8017,4.040334463
ResNet_vd,ResNet152_vd,0.8059,5.759242058
ResNet_vd,ResNet18_vd,0.7226,1.110899687
ResNet_vd,ResNet200_vd,0.8093,7.318415165
ResNet_vd,ResNet34_vd,0.7598,1.86602807
ResNet_vd,ResNet50_vd,0.7912,2.23243928
ResNet_vd,SE_ResNet18_vd,0.7333,1.305218935
ResNet_vd,SE_ResNet34_vd,0.7651,2.195151329
ResNet_vd,SE_ResNet50_vd,0.7952,2.720367908
ResNeXt,ResNeXt101_32x16d_wsl,0.8424,20.57570839
ResNeXt,ResNeXt101_32x32d_wsl,0.8497,49.86768031
ResNeXt,ResNeXt101_32x48d_wsl,0.8537,69.81294227
ResNeXt,ResNeXt101_32x4d,0.7865,4.80657506
ResNeXt,ResNeXt101_32x8d_wsl,0.8255,15.84614849
ResNeXt,ResNeXt101_64x4d,0.7835,7.1200881
ResNeXt,ResNeXt152_32x4d,0.7898,7.092215538
ResNeXt,ResNeXt152_64x4d,0.7951,10.88491464
ResNeXt,ResNeXt50_32x4d,0.7775,2.424233675
ResNeXt,ResNeXt50_64x4d,0.7843,3.622613192
ResNeXt,SE_ResNeXt101_32x4d,0.7939,5.780152559
ResNeXt,SE_ResNeXt50_32x4d,0.7844,2.952862501
ResNeXt,SE_ResNeXt50_vd_32x4d,0.8024,3.059688568
ResNeXt_vd,ResNeXt101_vd_32x4d,0.8033,4.848735571
ResNeXt_vd,ResNeXt101_vd_64x4d,0.8078,7.339667082
ResNeXt_vd,ResNeXt152_vd_32x4d,0.8072,7.116274357
ResNeXt_vd,ResNeXt152_vd_64x4d,0.8108,10.57958627
ResNeXt_vd,ResNeXt50_vd_32x4d,0.7956,2.503729343
ResNeXt_vd,ResNeXt50_vd_64x4d,0.8012,3.678511858
ReXNet,ReXNet_1_0,0.7746,3.095018625
ReXNet,ReXNet_1_3,0.7913,3.37589407
ReXNet,ReXNet_1_5,0.8006,3.204300404
ReXNet,ReXNet_2_0,0.8122,3.324934721
ReXNet,ReXNet_3_0,0.8209,3.82903266
SENet,SENet154_vd,0.814,12.57079649
SqueezeNet,SqueezeNet1_0,0.596,0.46034956
SqueezeNet,SqueezeNet1_1,0.601,0.369519949
VAN,VAN_B0,0.7535,9.581539631
VAN,VAN_B1,0.8102,8.24356842
VAN,VAN_B2,0.828,17.09497976
VAN,VAN_B3,0.8389,32.09269929
VGG,VGG11,0.693,1.535071373
VGG,VGG13,0.7,1.831910849
VGG,VGG16,0.72,2.275381327
VGG,VGG19,0.726,2.725735903
Xception,Xception41,0.793,3.195815563
Xception,Xception41_deeplab,0.7955,3.335150242
Xception,Xception65,0.81,5.009835243
Xception,Xception65_deeplab,0.8032,4.979637623
Xception,Xception71,0.8111,5.745859146
