series,model,Accuracy,Inference time/ms
PP-HGNet,PPHGNet_B3_ssld,0.8195,1.758800983
PP-HGNet,PPHGNet_B4_ssld,0.8382,2.498328209
PP-HGNet,PPHGNet_B5_ssld,0.8500,5.843292713
PP-HGNetV2,PPHGNetV2_B0,0.7777,0.52
PP-HGNetV2,PPHGNetV2_B1,0.7918,0.58
PP-HGNetV2,PPHGNetV2_B2,0.8174,0.95
PP-HGNetV2,PPHGNetV2_B3,0.8298,1.18
PP-HGNetV2,PPHGNetV2_B4,0.8357,1.46
PP-HGNetV2,PPHGNetV2_B5,0.8475,2.84
PP-HGNetV2,PPHGNetV2_B6,0.8630,5.29
DarkNet,DarkNet53,0.78,2.400055408
DenseNet,DenseNet121,0.7566,3.220166445
DenseNet,DenseNet169,0.7681,4.81493783
DenseNet,DenseNet201,0.7763,6.154848337
DenseNet,DenseNet264,0.7796,9.05417943
DPN,DPN107,0.8089,8.387327194
DPN,DPN68,0.7678,2.819899082
DPN,DPN92,0.7985,4.643654823
DPN,DPN98,0.8059,6.15059948
EfficientNet,EfficientNetB0,0.7738,1.578644514
EfficientNet,EfficientNetB1,0.7915,2.289323807
EfficientNet,EfficientNetB2,0.7985,2.52421999
EfficientNet,EfficientNetB3,0.8115,3.441653252
EfficientNet,EfficientNetB4,0.8285,5.35021019
EfficientNet,EfficientNetB5,0.8362,8.515771627
EfficientNet,EfficientNetB6,0.84,13.48949003
HarDNet,HarDNet39_ds,0.7133,1.118879795
HarDNet,HarDNet68,0.7546,2.97064209
HarDNet,HarDNet68_ds,0.7362,1.882612467
HarDNet,HarDNet85,0.7744,4.669345617
HRNet,HRNet_W18_C,0.7692,6.331401825
HRNet,HRNet_W30_C,0.7804,8.335857153
HRNet,HRNet_W40_C,0.7877,9.636357069
HRNet,HRNet_W48_C,0.7895,10.80666757
HRNet,HRNet_W64_C,0.793,13.1234138
Inception,InceptionV3,0.7914,3.919076443
Inception,InceptionV4,0.8077,7.087110758
Inception,GoogLeNet,0.707,1.25539279
RedNet,RedNet101,0.7894,14.89124608
RedNet,RedNet26,0.7595,5.358763456
RedNet,RedNet38,0.7747,7.423187256
RedNet,RedNet50,0.7833,9.469828844
RegNet,RegNetX_32GF,0.803,13.66027474
RepVGG,RepVGG_A0,0.7131,1.382797956
RepVGG,RepVGG_A1,0.738,1.681082249
RepVGG,RepVGG_A2,0.7571,2.310356617
RepVGG,RepVGG_B0,0.745,1.991843224
RepVGG,RepVGG_B1,0.7773,3.5600214
RepVGG,RepVGG_B3g4,0.8005,4.208945751
Res2Net,Res2Net50_14w_8s,0.7946,4.129235506
Res2Net,Res2Net50_26w_4s,0.7933,3.308832645
ResNeSt,ResNeSt101,0.8279,19.1625638
ResNeSt,ResNeSt50,0.8102,13.07949185
ResNet,ResNet101,0.7756,4.004966736
ResNet,ResNet152,0.7826,5.708516598
ResNet,ResNet18,0.7098,1.077058077
ResNet,ResNet34,0.7457,1.827511072
ResNet,ResNet50,0.765,2.188886642
ResNet_vd,ResNet101_vd,0.8017,4.040334463
ResNet_vd,ResNet152_vd,0.8059,5.759242058
ResNet_vd,ResNet18_vd,0.7226,1.110899687
ResNet_vd,ResNet200_vd,0.8093,7.318415165
ResNet_vd,ResNet34_vd,0.7598,1.86602807
ResNet_vd,ResNet50_vd,0.7912,2.23243928
ResNeXt,ResNeXt101_32x4d,0.7865,4.80657506
ResNeXt,ResNeXt152_32x4d,0.7898,7.092215538
ResNeXt,ResNeXt50_32x4d,0.7775,2.424233675
SENet,SENet154_vd,0.814,12.57079649
VAN,VAN_B1,0.8102,8.24356842
VAN,VAN_B2,0.828,17.09497976
VGG,VGG16,0.72,2.275381327
VGG,VGG19,0.726,2.725735903
Xception,Xception41,0.793,3.195815563
Xception,Xception65,0.81,5.009835243
Xception,Xception71,0.8111,5.745859146
